12:14:30.832 [SMACTAE Abstract Blocking TAE Async Processing Thread (Available Processors 4) (9-1)] INFO  c.u.c.b.s.c.SequentialModelBasedAlgorithmConfiguration - Updated estimated mean quality of the same incumbent: 39.2421125; estimate now based on 24 runs.
12:14:31.426 [SMACTAE Abstract Blocking TAE Async Processing Thread (Available Processors 4) (9-1)] INFO  c.u.c.b.s.c.SequentialModelBasedAlgorithmConfiguration - Updated estimated mean quality of the same incumbent: 38.7063; estimate now based on 25 runs.
12:14:31.544 [SMACTAE Abstract Blocking TAE Async Processing Thread (Available Processors 4) (9-1)] INFO  c.u.c.b.s.c.SequentialModelBasedAlgorithmConfiguration - Updated estimated mean quality of the same incumbent: 43.99519230769231; estimate now based on 26 runs.
12:14:31.662 [SMACTAE Abstract Blocking TAE Async Processing Thread (Available Processors 4) (9-1)] INFO  c.u.c.b.s.c.SequentialModelBasedAlgorithmConfiguration - Updated estimated mean quality of the same incumbent: 43.24896666666666; estimate now based on 27 runs.
12:14:33.326 [SMACTAE Abstract Blocking TAE Async Processing Thread (Available Processors 4) (9-1)] INFO  c.u.c.b.s.c.SequentialModelBasedAlgorithmConfiguration - Incumbent changed to: config 26 (internal ID: 0x3051C), with mean quality: 41.26261111111112; estimate based on 27 runs.
12:14:33.327 [SMACTAE Abstract Blocking TAE Async Processing Thread (Available Processors 4) (9-1)] INFO  c.u.c.b.s.c.SequentialModelBasedAlgorithmConfiguration - Sample call for new incumbent config 26 (internal ID: 0x3051C): 
cd /Users/Chris/Documents/workspace/hydra/build/install/hydra/example_scenarios/branin/.; python ./braninWrapper.py x1_6.0 0 10.0 2147483647 -1 -x2 '5.491766308933792'  
12:14:33.515 [SMACTAE Abstract Blocking TAE Async Processing Thread (Available Processors 4) (9-1)] INFO  c.u.c.b.s.c.SequentialModelBasedAlgorithmConfiguration - Updated estimated mean quality of the same incumbent: 40.07956428571428; estimate now based on 28 runs.
12:14:33.631 [SMACTAE Abstract Blocking TAE Async Processing Thread (Available Processors 4) (9-1)] INFO  c.u.c.b.s.c.SequentialModelBasedAlgorithmConfiguration - Updated estimated mean quality of the same incumbent: 39.12311379310346; estimate now based on 29 runs.
12:14:33.747 [SMACTAE Abstract Blocking TAE Async Processing Thread (Available Processors 4) (9-1)] INFO  c.u.c.b.s.c.SequentialModelBasedAlgorithmConfiguration - Updated estimated mean quality of the same incumbent: 38.49117333333333; estimate now based on 30 runs.
12:14:33.862 [SMACTAE Abstract Blocking TAE Async Processing Thread (Available Processors 4) (9-1)] INFO  c.u.c.b.s.c.SequentialModelBasedAlgorithmConfiguration - Updated estimated mean quality of the same incumbent: 41.13655806451613; estimate now based on 31 runs.
